result,field,total,top_issuer,top_count
pass,e_san_bare_wildcard,6963165,Let's Encrypt,3264105
pass,e_san_wildcard_not_first,6963162,Let's Encrypt,3264105
pass,n_san_dns_name_duplicate,6963083,Let's Encrypt,3264105
pass,e_international_dns_name_not_unicode,6963058,Let's Encrypt,3264105
pass,e_ext_san_uri_format_invalid,6962988,Let's Encrypt,3264105
pass,e_ext_san_uri_not_ia5,6962988,Let's Encrypt,3264105
pass,e_ext_san_uri_relative,6962988,Let's Encrypt,3264105
pass,e_ext_san_uri_host_not_fqdn_or_ip,6962986,Let's Encrypt,3264105
pass,w_ext_san_critical_with_subject_dn,6962979,Let's Encrypt,3264105
pass,e_ext_san_directory_name_present,6962619,Let's Encrypt,3264105
pass,e_ext_san_edi_party_name_present,6962619,Let's Encrypt,3264105
pass,e_ext_san_registered_id_present,6962619,Let's Encrypt,3264105
pass,e_ext_san_uniform_resource_identifier_present,6962614,Let's Encrypt,3264105
